,City,City ID,Latitude,Longitude,Temperature,Weather Description,Humidity,Cloudiness,Wind Speed,Country
0,Bluff,2008959,-46.6,168.3333,45.806000000000026,broken clouds,51,54,3.6014734000000006,NZ
1,Los Llanos De Aridane,2002582,28.6585,-17.9182,67.11800000000008,clear sky,78,0,3.4448876000000004,ES
2,Busselton,2020551,-33.65,115.3333,66.03800000000004,clear sky,67,0,8.008245200000001,AU
3,Barrow,7649,71.2906,-156.7887,39.21800000000009,overcast clouds,87,90,18.4100162,US
4,Ushuaia,8303,-54.8,-68.3,40.658,scattered clouds,75,40,6.9121446,AR
5,Salalah,7562,17.0151,54.0924,82.49000000000002,broken clouds,78,75,4.608096400000001,OM
6,Thompson,935,55.7435,-97.8558,51.96200000000006,mist,100,90,5.7489358,CA
7,Victoria,2035800,22.2855,114.1577,88.26800000000009,overcast clouds,79,96,3.802798,HK
8,Hasaki,7955,35.7333,140.8333,79.19600000000005,light rain,63,100,5.391025400000001,JP
9,Cape Town,2033665,-33.9258,18.4232,53.16800000000009,clear sky,80,5,4.0041226000000005,ZA
10,Punta Arenas,8487,-53.15,-70.9167,44.708000000000006,broken clouds,70,75,23.0181126,CL
11,New Norfolk,2031307,-42.7826,147.0587,54.91400000000003,few clouds,53,17,1.9908766000000002,AU
12,Vila Franca Do Campo,6899,37.7167,-25.4333,70.21400000000003,scattered clouds,88,27,4.115969600000001,PT
13,Jacmel,7213,18.2342,-72.5347,73.23800000000006,clear sky,79,6,1.6329662,HT
14,Hilo,7881,19.7297,-155.09,78.40400000000005,few clouds,72,20,9.216192800000002,US
15,Brookhaven,2003081,31.5791,-90.4407,74.80400000000006,overcast clouds,91,100,4.854159800000001,US
16,Gushikawa,8138,26.3544,127.8686,87.38600000000008,scattered clouds,79,40,19.573225,JP
17,Newport,2013467,51.5877,-2.9984,58.31600000000001,overcast clouds,91,100,10.178077,GB
18,Hobart,2002195,-42.8794,147.3294,55.07600000000009,scattered clouds,57,40,1.9908766000000002,AU
19,Bethel,2004826,41.3712,-73.414,65.84000000000003,light rain,87,40,3.4448876000000004,US
20,Saint-Philippe,2127,-21.3585,55.7679,65.04800000000003,scattered clouds,76,40,12.168953600000002,RE
21,Mataura,2008959,-46.1927,168.8643,45.48200000000001,overcast clouds,63,93,1.6553356000000001,NZ
22,Avera,2827,33.194,-82.5271,70.66400000000004,few clouds,61,17,5.8384134,US
23,Vaini,7285,-21.2,-175.2,77.16200000000006,scattered clouds,88,40,8.052984,TO
24,Jamestown,2008828,42.097,-79.2353,64.184,overcast clouds,98,90,2.9974996000000003,US
25,Walvis Bay,2012545,-22.9575,14.5053,54.08600000000007,clear sky,90,0,11.520241000000002,NA
26,Carnarvon,9505,-24.8667,113.6333,69.87200000000004,clear sky,56,0,16.105968,AU
27,Tateyama,8074,34.9833,139.8667,75.21800000000009,overcast clouds,83,100,7.381902,JP
28,Brae,1438,60.3964,-1.353,53.51000000000008,broken clouds,87,59,10.1109688,GB
29,Harnosand,1767,62.6323,17.9379,43.37600000000009,overcast clouds,73,100,18.253430400000003,SE
30,Albany,19530,42.6001,-73.9662,59.648000000000025,broken clouds,82,63,3.131716,US
31,Cabo San Lucas,2004005,22.8909,-109.9124,82.4,few clouds,83,12,1.9908766000000002,MX
32,Bambous Virieux,2002134,-20.3428,57.7575,70.21400000000003,broken clouds,72,56,16.016490400000002,MU
33,Bredasdorp,2006131,-34.5322,20.0403,52.28600000000007,overcast clouds,83,100,2.7514362,ZA
34,Anchorage,2008005,61.2181,-149.9003,49.064000000000036,light rain,75,90,1.9908766000000002,US
35,Plouzane,6554,48.3833,-4.6167,62.79800000000003,overcast clouds,94,90,6.9121446,FR
36,Avarua,7271,-21.2078,-159.775,78.85400000000006,scattered clouds,69,40,9.216192800000002,CK
37,Gualdo Tadino,2018961,43.2317,12.781,58.58600000000007,few clouds,69,18,2.9751302,IT
38,Flinders,2010723,-34.5833,150.8552,57.50600000000003,broken clouds,79,80,14.361154800000001,AU
